"Language","ISO_code","Phoible_code","Meaning","Form","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","revision"
"Tibetan","bod","bod","rough","rtsub mo","yes","CLICS",28.3681,90.1872,"Sino-Tibetan","Bodic","Inner Asia","N-C Asia",6.2,TRUE,"trill",TRUE,FALSE,"other"
"Bulang","blr","blr","rough","sa.31 phuh.51 sa.31 phah.51","yes","CLICS",22.0092,99.7405,"Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia",6.2,TRUE,"trill",FALSE,FALSE,"other"
"Bulang","blr","blr","rough","ra.31","yes","CLICS",22.0092,99.7405,"Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia",6.2,TRUE,"trill",TRUE,FALSE,"other"
"Bulang","blr","blr","rough","ćək.31 ʔa.31 khliat.51","yes","CLICS",22.0092,99.7405,"Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia",6.2,TRUE,"trill",FALSE,TRUE,"other"
"Bulang","blr","blr","rough","ći.33 ru.31 rut.51","yes","CLICS",22.0092,99.7405,"Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia",6.2,TRUE,"trill",TRUE,FALSE,"other"
"Wa","wbm","wbm","rough","rɛʔ.B","yes","CLICS",23.1024,99.108,"Austroasiatic",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"trill",TRUE,FALSE,"other"
"Mlabri","mra","mra","rough","tra pum tra pɔm","yes","CLICS",18.5533,101.163,"Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia",6.2,TRUE,NA,TRUE,FALSE,"trilled"
"Ahlao Th","thm","thm","rough","ʔɣ̆nʔ.B zonʔ.B","no","CLICS",17.7655,104.229,"Austroasiatic",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,FALSE,"ERROR"
"Nyakur","cbn","cbn","rough","jrɔ:č","no","CLICS",15.8909,101.515,"Austroasiatic","Southern Mon-Khmer","Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",TRUE,FALSE,"NA"
"Samre","sxm","sxm","rough","ja:p.C","no","CLICS",12.243,103.139,"Austroasiatic",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,FALSE,"other"
"Chong","cog","cog","rough","ja:p.A","yes","CLICS",12.5218,102.514,"Austroasiatic","Eastern Mon-Khmer","Southeast Asia","S/SE Asia",6.2,TRUE,"trill",FALSE,FALSE,"trilled"
"Surin Khmer","khm","khm","rough","kkrɨh","no","CLICS",12.5,105,"Austroasiatic","Eastern Mon-Khmer","Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",TRUE,FALSE,"trilled"
"Romagnol-std","rgn",NA,"smooth","léss","yes","CLICS",44.2349,11.7189,"Indo-European",NA,"Europe","W and SW Eurasia",-6.9,FALSE,"trill",FALSE,TRUE,NA
"Angami Kohima","njm","njm","smooth","kemeju","no","CLICS",25.55,94.1333,"Sino-Tibetan","Angami-Pochuri Group","Southeast Asia","S/SE Asia",-6.9,FALSE,"no trill",FALSE,FALSE,"trilled"
"Dimasa","dis",NA,"smooth","phlam-phlam","yes","CLICS",25.42,93.18,"Sino-Tibetan","Brahmaputran (Sal)","Indic","S/SE Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
