	Language	ISO_code	Phoible_code	R_type	revision	Phonology
185	Central Thai	tha	tha	no trill	trilled	continuant; flap; position; variation; retroflex; trill; sonorant; roll; tap; lateral
186	Thai	tha	tha	no trill	OUT	continuant; flap; position; variation; retroflex; trill; sonorant; roll; tap; lateral
187	Southern Kam	doc; kmc	NA	no trill	OUT	NA
188	Ingush	inh	inh	no trill	trilled	retroflex; tap; trill; devoising; lateral; fricative
189	Tsova-Tush	bbl	bbl	trill	other	vibrant; palatalization; resonant; liquid; tap; devoising
190	Khasi	kha	kha	trill	trilled	trill; position; tap; devoising
191	Tamil	tam	tam	no trill	OUT	tap; approximant; trill; flap; retroflex
192	Telugu	tel	tel	no trill	OUT	flap; trill; gemination; contrast; tap; position
193	Tibetan	bod	bod	trill	other	liquid; retroflex; aspiration; tap; flap; trill; emphatic; variation
194	Bulang	blr	blr	trill	other	liquid; retroflex; approximant; position
195	Wa	wbm	wbm	trill	other	trill; position; devoising; approximant; median; aspiration; tap
196	Mlabri	mra	mra	NA	trilled	tap; devoising; trill; liquid; aspiration
197	Ahlao Th	thm	thm	no trill	ERROR	flap; contrast
198	Nyakur	cbn	cbn	no trill	NA	NA
199	Samre	sxm	sxm	no trill	other	approximant; velar; fricative; position; variation; trill
200	Chong	cog	cog	trill	trilled	trill; variation; approximant; contrast
201	Surin Khmer	khm	khm	no trill	trilled	retroflex; trill; contrast
202	Cayapa	cbi	cbi	no trill	other	vibrant; contrast; tap
203	Trinitario	trn	trn	no trill	other	vibrant; rhotic; tap; lateral; retroflex
204	Yavitero	yvt	yvt	no trill	other	lateral; tap; devoising
205	Ese Ejja	ese	ese	no rhotic	OUT	NA
206	Itonama	ito	ito	no trill	other	flap; vibrant
207	Sirionó	srq	srq	no trill	other	flap; stop; hardening; contrast; initial; restriction; alternation; fricative
208	Kunza	kuz	kuz	no trill	NA	vibrant
209	Angami Kohima	njm	njm	no trill	trilled	retroflex; approximant; devoising; trill; roll; fricative; position; contrast
210	Dimasa	dis	NA	trill	trilled	liquid; roll; trill; contrast; position; gemination; elision; epenthetic
211	Jingpho	kac	kac	no trill	NA	liquid; fricative; alternation
212	Lotha	njh	njh	trill	trilled	trill; position; aspiration
213	Lushai	lus	lus	no trill	other	flap; plosive; roll; position; retroflex
214	Maring	mbw	NA	trill	ERROR	trill; flap
215	Manipuri	mni	mni	trill	OUT	flap; alternation; trill; retroflex; variation; prothetic
216	Mikir	mjw	mjw	trill	trilled	rhotic; variation; flap; trill; approximant; position; retroflex
217	Sangtam	nsa	NA	no trill	other	approximant; rhotic; retroflex; position; 
218	Tangsa (Yogli)	nst	nst	no trill	trilled	rhotic; approximant; position; variation; retroflex; fricative; trill
219	Mao	nbi	nbi	trill	trilled	liquid; trill; position; heavy
220	North Karelian	krl	NA	trill	trilled	trembling; sonorant; gemination; alternation; palatalization; vibrant
221	Veps	vep	NA	trill	trilled	sonorant; trembling; palatalization; contrast; position
222	Livonian	liv	NA	trill	trilled	liquid; trill; palatalization; vibrant; gemination
223	Southern Sami	sma	sma	trill	trilled	trembling; roll; sonant; sonorant; position; palatalization; gemination; fricative; devoising
224	Lule Sami	smj	NA	trill	trilled	NA
225	Inari Sami	smn	NA	trill	trilled	roll
226	Skolt Sami	sms	NA	trill	trilled	gemination; trill; position; fricative
227	Kildin Sami	sjd	NA	trill	trilled	trembling; palatalization; devoising
228	Hill Mari	mrj	NA	trill	trilled	NA
229	Moksha	mdf	NA	trill	trilled	vibrant; palatalization; devoising
230	Komi-Permyak	koi	NA	trill	NA	rhotic; trembling
231	Forest Enets	enf	NA	trill	trilled	trill; palatalization; initial; restriction; neutralization; constrast; position
232	Nganasan	nio	nio	trill	trilled	sonant; median; trembling; position; initial; restriction; trill; alternation
233	Bashkir	bak	bak	trill	trilled	trill; position; palatalization
234	Tatar	tat	NA	trill	NA	trill
